Fraktion/Gruppe,Vorname,Name,ja,nein,Enthaltung,ungültig,nichtabgegeben,total_votes,ratio_ja,ratio_nein,ratio_Enthaltung,ratio_ungültig,ratio_nichtabgegeben
CDU/CSU,David,Gregosz,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Christoph,Frauenpreiß,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Florian,Müller,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Dieter,Stier,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
BÜ90/GR,Stefan,Schmidt,34,25,8,0,1,68,0.5,0.36764705882352944,0.11764705882352941,0.0,0.014705882352941176
CDU/CSU,Cornell-Anette,Babendererde,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Hendrik,Hoppenstedt,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
CDU/CSU,Georg,Kippels,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Anja,Troff-Schaffarzyk,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Annika,Klose,52,14,1,0,1,68,0.7647058823529411,0.20588235294117646,0.014705882352941176,0.0,0.014705882352941176
SPD,Armand,Zorn,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Christos,Pantazis,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Dagmar,Schmidt (Wetzlar),53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
SPD,Daniel,Bettermann,54,13,0,0,1,68,0.7941176470588235,0.19117647058823528,0.0,0.0,0.014705882352941176
SPD,Dennis,Rohde,53,14,0,0,1,68,0.7794117647058824,0.20588235294117646,0.0,0.0,0.014705882352941176
